_id,Project ID,Addresses,Anchor Address,Status,Ward Number,Ward Name,Affordable Homes Approved,Rent-Controlled Market Units Approved,RGI Homes Approved,geometry
163,ARH0233,Bloor-Kipling (Block 1),5207 Dundas St W ,Started Construction,3,Etobicoke-Lakeshore,197,507,21,"{""coordinates"": [[-79.53339886, 43.64010721]], ""type"": ""MultiPoint""}"
164,ARH0234,Bloor-Kipling (Block 5),5207 Dundas St W ,Planning Applications Under Review,3,Etobicoke-Lakeshore,176,395,19,"{""coordinates"": [[-79.53339886, 43.64010721]], ""type"": ""MultiPoint""}"
165,ARH0236,East Bayfront - Block R6 (263 Queen Quay East),263 Queens Quay East,Pre-Planning,10,Spadina-Fort York,180,126,19,"{""coordinates"": [[-79.36176291, 43.64649974]], ""type"": ""MultiPoint""}"
166,ARH0237,East Harbour (21 Don Valley Parkway N),21 Don Valley Parkway N,Planning Applications Under Review,14,Toronto-Danforth,215,0,0,"{""coordinates"": [[-79.34784114, 43.6535527]], ""type"": ""MultiPoint""}"
167,ARH0239,Lawrence Heights (3 Flemington Road) (Phase 2 and 3),3 Flemington Rd,Pre-Planning,8,Eglinton-Lawrence,130,0,0,"{""coordinates"": [[-79.44214501, 43.71915706]], ""type"": ""MultiPoint""}"
168,ARH0242,"259 Lakeshore blvd East, 200 Queens Quay East (Quayside)",259 Lake Shore Blvd,Approved OPAs and Zoning By-Law Amendments,10,Spadina-Fort York,551,0,0,"{""coordinates"": [[-79.36340485, 43.64620743]], ""type"": ""MultiPoint""}"
169,ARH0245,Regent Park Phase 4 and 5 (multiple addresses),591 Dundas St E,Planning Applications Under Review,13,Toronto Centre,637,0,0,"{""coordinates"": [[-79.362694, 43.661805]], ""type"": ""MultiPoint""}"
170,ARH0246,"West Don Lands (Blocks 3W, 4W, 7W)",373 Front St E,Started Construction,13,Toronto Centre,275,0,0,"{""coordinates"": [[-79.35783621, 43.65143587]], ""type"": ""MultiPoint""}"
171,ARH0247,333 Lake Shore Boulevard East (Quayside),333 Lake Shore Blvd E,Planning Applications Under Review,10,Spadina-Fort York,407,0,0,"{""coordinates"": [[-79.359578, 43.647133]], ""type"": ""MultiPoint""}"
172,ARH0248,877 Yonge Street (Phase 2),877 Yonge Street,Completed,11,University-Rosedale,0,0,156,"{""coordinates"": [[-79.359578, 43.647133]], ""type"": ""MultiPoint""}"
173,ARH0250,3060 Eglinton Avenue East,3060 Eglinton Avenue East,Approved OPAs and Zoning By-Law Amendments,24,Scarborough-Guildwood,10,0,0,"{""coordinates"": [[-79.22796782, 43.74171849]], ""type"": ""MultiPoint""}"
